feature,importance
f417,0.19516142416094479
f536,0.1951561708674104
f578,0.195137555548838
f365,0.19513236567511896
f733,0.19508237371592477
f592,0.1950653033212072
f738,0.19505165901840912
f302,0.1950311771678858
f415,0.19498974791775733
f708,0.19498185396687587
f527,0.1949705342148489
f693,0.19496477419429617
f472,0.19495469650706257
f366,0.19493729446621336
f656,0.19493372406220508
f681,0.19493061725742403
f744,0.19492850835011138
f721,0.19489842701363727
f761,0.1948942325609351
f287,0.19484996345654126
f842,0.1948058190349547
f603,0.19480339148080192
f685,0.19479927523303595
f539,0.1947857966241563
f361,0.1947360722748483
f598,0.19472561472923117
f525,0.19471878831743417
f666,0.19471120568973052
f586,0.19470855926289865
f464,0.1947064001745213
f405,0.1946561280401224
f637,0.1946242472530074
f467,0.19461237275755308
f402,0.19460727229228933
f608,0.19456186511171053
f564,0.19455931505513424
f468,0.19452158729977406
f617,0.19450077733155208
f633,0.1944999545938202
f477,0.1944819706792639
f676,0.1944739109930809
f594,0.19446618295189685
f363,0.1944622494075146
f486,0.19445505839999955
f396,0.19444584044180838
f847,0.19443933702191893
f863,0.1944345212523407
f832,0.1944317063826144
f709,0.19441762215465486
f702,0.19441164717388426
f750,0.19438554088624507
f507,0.19438065847505978
f725,0.19436354982918355
f653,0.19434398924118867
f690,0.19433276814686717
f473,0.1943296302473175
f471,0.19431298648746748
f715,0.19429566221057776
f370,0.1942063849079078
f635,0.1941765878047756
f611,0.19413217466769356
f655,0.1941235621860033
f485,0.1941231273373031
f544,0.19401497823122626
f638,0.1940082075307519
f822,0.1940030871962635
f748,0.1939456096836813
f480,0.19394363807928955
f695,0.19391743700733977
f701,0.19390155626122657
f762,0.19389997043180326
f545,0.19385898478237687
f734,0.1938524725450042
f615,0.19383803175865275
f380,0.19376344755140473
f816,0.1937487837204206
f476,0.19374227120138962
f817,0.193741361989166
f631,0.19372734435062056
f684,0.19371799166321324
f574,0.19371087900257658
f290,0.19363934410547887
f540,0.193610928876822
f643,0.19360449006604305
f503,0.1935731423252297
f496,0.19352761090857765
f658,0.19351161758147611
f706,0.19350958831854848
f825,0.19348611879287284
f717,0.19346456255310365
f743,0.1934451689381821
f604,0.1934190316551573
f625,0.1934172250634543
f502,0.19336547117271433
f858,0.19334977313333537
f568,0.19333321999113906
f682,0.19331754333990878
f772,0.19327277949989616
f624,0.1932717481867572
f489,0.19326245320044244
f712,0.1932075768399599
